Players,S1: The Jungle,S2: Four Seas,S3: Cold Shoulder,S4: Desert Oasis,S5: Exile Island,S6: HvV,S7: The Tropics,S8: Inferior,S9: Seasons Change,S10: Space Legacy,S11: Winter's Coming,S12: DvG,S13: Avatar,S14: Apocalypse,S15: Olympians,S16: Reunion,S17: Rodeo,S18: Atlantis,S19: The Mines,S20: Ghost Island,S21: Winning Is Everything,S22: Love Is Blind,S23: World War,S24: Arcade,S25: Heaven,S26: Alchemy,S27: The Election,S28: Halloween,S29: Avatar II,S30: Legacy,S31: Around the World,S32: Eden,S33: HvV 2,S34: Pirates Cove,S35: Arcade 2,S36: Spellbound,S37: Golden Coconut,S38: BvBvB,S39: The Bunker,Average Placement
5kylord,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.
6BU,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,20.
AJ,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,21.
Andrewcraft,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.
Andy,,,,,,,,,,,7,1,14,5,,5,19,4,8,19,17,,,,,,,,,,,,,,,12,10,,,10.08
Applepie,,,,,,,,,,,,18,,17,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
Arich,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.
Arod,,,,,,,,,,,,,,,,,13,3,,17,7,2,14,7,10,,4,2,11,,11,16,8,,,,,2,,8.47
Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,18.
Austronomical,13,3,,18,,2,,,7,10,5,,7,,19,,,,,,,,,,,,,,5,,,,,,,,,,,8.9
ayeandrei,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.
Azoof,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,12,,18,,,,,5,,,13,,11.17
Bacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,8,,,,1,,15,,7.
beachbug,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,18.
Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,3,4,,,,,,15,,,9.25
Beastaxel,4,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.
BigZ60,,9,7,19,,4,,,,,,,,,,,,,,6,,,,17,,,,,,,14,,,,15,,,,,11.38
Bizzle,,,,,,,,,,,,,,,,,9,1,10,13,,,,12,,,,6,,14,,,,,3,,18,,,9.56
Bjr,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1.5
Bliv,,,,,,,,,,,,,12,,10,,,,,,2,4,1,,,,,,,,,,,,,,3,,,5.33
Bobby,,,,,,,,,,,,,13,,,,,6,,7,,6,11,,,11,2,,15,7,1,,11,6,12,6,2,1,,7.31
Bohe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,10,9.67
Boomblade,,,,,,,,,,,,,,,,15,,,,,19,18,,,,,,,,,,,,,,,,,,17.33
Brady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17.
Broseph,,,,,,,,,19,16,,,,,,,14,,,,,,,,12,,,,,,,,,,,,,,,15.25
Bushiehalf,,,,8,,,3,,,,,,2,,,,5,,,,,,,18,,7,,,16,,,10,12,,,11,,,,9.2
Canman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,11,,15.5
Carterwaterbear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,8.5
Changa,,,10,,,,2,,,14,,6,,9,8,12,,,,10,,,3,,,,,,1,11,,,,,,,,3,,7.42
Cheetah,,,,,,,,,,,,,,,,,,,,,,,,,2,8,10,,,,,,,,,,,,,6.67
Chock,,16,4,4,,,15,,6,,,,9,14,6,,,,,,,,,,,,,1,,,,11,,,,4,,,,8.18
ChrisCD,,,,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,8,13,9.5
ChrisMS,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,16.
Cnner,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.
Codwhy,,,,,,3,,,10,18,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25
Colinn,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,12.
CraftCrank,,,,,,,,,,,,,,,,,,,,,8,,15,,,,,,10,,,,,,,,,,,11.
Dahi,,,,20,,6,,15,,17,,,6,7,9,,18,9,,8,1,1,18,,,,,,,,,,,12,,9,,,15,10.69
DarkType,11,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
Decode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,10.5
DKP,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,7,18,,,7,9.6
Diatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,,,,8.5
DjCrafter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,17.
Domo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,18.
dontbow,,12,13,1,3,,,,,,16,,11,11,4,,11,,,,,,,11,,,,,,,,,,,,,,,,9.3
DrJamezz,5,15,2,2,,,,,,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,,,9.17
Fensua,,,,16,4,,,,,,,,8,,,,,,,,,,,,,,,,21,,,,,,,,,,,12.25
Flameh,,,,,,,,,8,,,,,,17,,,10,,1,,8,17,,,,,,,,,,16,,,,,,,11.
FlameOrb,,,,,,16,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
Fleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,8,,9,,6,7.
Frigiid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5.
Fruitlogic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,13.
Garrett,,,,,,,,,,2,17,,15,,15,13,,,9,9,20,,,4,14,13,,,14,2,,17,,,,,,,,11.71
GGWill,,,,,,,,,,,,,,,,,,,,,14,,,3,3,,18,,,,,,,,,,,,,9.5
Ginger,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,12.
Glarza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3.
Glen,,,,,,,,,,,,,,,,,17,5,,18,,,,2,,,,,,,,,,,,,,,,10.5
Grandbud,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.
Grant,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,12.
Hab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,10,,,,,11,9.5
Harry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,13.
Hecticity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2.
HonestlyHunter,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,17.
Hungry,,,,,,,,,,,,,,,,7,8,16,,,,,,,,,,,,,,,,,,,,,,10.33
HunterWolf,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.
Huntree,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,8.
Immortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,3,8.
Infinity,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,,,,,,,,,,,,12.
Jaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,17.
Jar,,,,,,,,6,,,,17,,,,14,,,,,,,,,,,,,,,,,,,,,,,,12.33
Jayzize,,,,,,,,,,,,12,,,,,,,,,,,,,4,17,6,13,3,9,10,,,9,,5,,,,8.8
JFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,8.
JmcLFA,,,,13,18,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33
Jrose,,,,,,,,,,,,,,,,,,14,16,,,,,,,3,12,18,,4,12,,,4,19,,,20,2,11.27
Kayla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,,14,10.67
Kelawesome,,,,,,,,4,3,8,,4,10,16,,,16,,,,,,,,,9,5,,,8,,,,,,,,,,8.3
Kemps,,,,,,,,,,,,,,,,,,2,6,,6,15,16,,,,,,,,,13,,,,,,7,,9.29
Kidfierce,,,,9,2,10,11,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,9.2
Koke,,,,,,,,,,,1,,18,,,,,,,,,,,,,,,,,,,7,,,,,,,,8.67
LegoBeast,,,,,,,,,,,,,,,,,,,,,13,5,8,,,,,7,7,,,,,,,,,,,8.
Lenboy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,9.
Lifeleaf,,,,,,18,,,,9,13,,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,10.8
Litten,,,,,,,,,,,,,,,,,,,,11,,,,6,,,16,,,,,,,,,,,,,11.
Louis,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.
Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,12.
Luda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10.
Lucity,,7,,,,7,9,,14,1,18,,,18,5,,6,,,,,,19,19,,,,,,,,,,,,,,,,11.18
Madmerrick,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,13.
MajorWoof,9,1,17,21,5,15,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,12.71
Maverick,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,11.
Maximum50,,,,5,,8,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33
MercuryParadox,,4,,10,1,,14,8,17,3,14,,20,15,13,,,,,,,,,,17,15,11,15,23,12,9,,2,3,10,,16,17,,11.7
Microus,,,,17,,,,10,18,12,4,,,,,,,,14,,,,,,,,,,18,,,,,11,,,,16,18,13.8
Miles,,,,,,,,,,,,,,,11,,10,,,,,,,,,,,,,,,14,10,15,1,,17,21,5,11.56
Monika,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,17.
Moxas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,2,,,,9.
Nie,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,14.
Nintendoshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,19.
NKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,17,,,,,,13.5
Normoh,,,,,,,,,11,4,20,16,,3,,,,,,14,,,,,9,,,5,,,,,,8,,,,,16,10.6
NotMyLights,,,,,15,,,,,,,,,,,,,15,,,,,,,,,,,,,,,18,,,,,,,16.
NTBama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,6.5
OldManChris,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,17.
Ozzy,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,19,,17.5
Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,8,,,,,,,,,13.5
PatCreeperBrown,,,,,,,,,,,,,,,,,,,15,,,,,,16,16,,,,,,,,,,,,,,15.67
Patsfan,3,11,1,7,,14,,,,,11,,,,,11,,,,,3,3,,,,,,,,,,,,,,,,,,7.11
Peace300,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,16,,,,,,,,,17.
Pelargo,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.
PenguinBagles,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.
Pepit,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,14.
Peridot,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2.
Phoraxe,,,9,6,6,,,,,,8,8,5,13,16,,,,,,,,,,,,,,,,,,,,,,,,,8.88
Pie,,,,,,,5,7,,,2,,,12,20,,,,,2,,,,,,,3,,,,,,,,,,,,,7.29
Pke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,,16,6,,,10.75
Poolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,13,16,3,,,,9.25
PotaTomas,,,,,,,,,,,,,,,,,,18,1,,,13,,,,,,,,,,,,,,,,,,10.67
Potsie,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.
Prisma,,,,,,,,,,,,,,,,4,2,,,,16,20,13,8,18,,,16,13,,,,13,,11,,,,,12.18
Purpdan,,,,,,,,,,,,,1,,,,,,,,,,7,,,5,1,,8,,,4,9,,,,,,,5.
Quil,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,15.
Rawkeyy,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,4.5
Ryfri,,10,12,3,17,,13,,13,,,9,,4,,9,,12,7,,15,,10,9,,4,,,24,16,,,,,,13,,5,1,10.3
SiahStone,,13,,,,,,5,,15,19,15,,10,,,12,,3,,,,,14,,,,,,,,,,,,,,,,11.78
SimplySam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,1,,2,,,,,,7.67
Sir,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,14,,,7.33
Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11.
Spongey,1,,8,,16,1,7,11,,7,6,5,,8,,3,1,7,,,4,11,6,,13,1,,3,,5,6,,5,18,,14,5,10,9,7.07
Squiish,,,,,,,,2,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67
Stevebob,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.
Sweagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,17.
Swishduck,,6,,,12,17,,14,20,6,9,10,19,6,,,7,13,4,4,12,10,,5,,6,13,9,12,1,15,,,15,2,,,18,8,10.11
Taco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,8,12,,15.
Tagggz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,18.
Theb,,,,,,,4,12,4,11,,2,16,2,2,10,,,,,,12,,13,6,,,,2,,,,,,,,12,,,7.71
Thimburr,15,,11,,11,9,18,,,,12,19,,,,6,,,,,,,,,,,,,,,,,,,,,,,,12.63
Thin,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.
TommySX,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,16.
Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,2.5
tuxpeng,,,,,,,,,,,,,3,1,,8,,,,,9,9,,,1,,,,17,,7,12,,,,,,,,7.44
Vinyl,7,5,18,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,12.
Vish,,,,15,,,19,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,12.33
Wolfaye,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.
xhockey,,,,,,,,,,,,,,,14,,,8,5,,5,7,9,,,,,,,,,,,,,,,,,8.
xRoss,,,,,,,,,,,,,,,,,,,11,15,21,19,,10,,,17,10,,,,,,,,,,,,14.71
YellowVitt,,8,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.67
ZackMcD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,20,,6,,17,15,20,,,15.83
Zakkeagle,12,,,11,8,11,,13,5,,15,11,,,1,,4,,,,11,,4,,11,,,,,,,15,,,,,4,,,9.07
zCent,14,,16,14,13,5,8,,12,13,10,20,17,19,12,1,3,,12,20,18,17,,1,,2,8,,4,6,,3,4,1,6,,,,,9.96
Zeka,,,,,,,,,,,,,,,,,,,,5,10,14,2,,,,,,,,,9,1,,,,,,,6.83
Zepless,2,2,6,,10,13,20,,,,,,,,,,,,2,,,,,20,,,,,,13,,,,,,,19,,,10.7
Zevulpes,,,,,,12,16,1,9,,,,,,,16,20,,,21,,,,,,,,,,,,,,,,,,,,13.57
